Country,Year,Reserve
Russia,2021,1688.228
Iran,2021,1200.252
Qatar,2021,842.627
United States,2021,473.3
Turkmenistan,2021,400
Saudi Arabia,2021,332.764
China,2021,234.993
United Arab Emirates,2021,215.098
Nigeria,2021,203.444
Venezuela,2021,200.372
Algeria,2021,159.054
Iraq,2021,131.686
Australia,2021,114
Mozambique,2021,100
Others (each under 1000),2021,1003.1380000000004
